en,ru
cohesive,сплоченный
cohesion,сплоченность
loitering,праздношатание
amenable,поддающийся
scatter,рассеивать
stopover,остановка в пути
lattice,решетка
complacency,самодовольство
commodity,товар
monetary value,денежная стоимость
negotiator,лицо, ведущее переговоры
supplement,дополнение
glean,тщательно подбирать
overhaul,ремонт
tenancy,аренда
virtue,в силу чего-то, добродетель, достоинство
virtue,добродетель
virtue,достоинство
prominent,выдающийся
faint,слабый
faint,обморок
preclude,препятствовать
resilience,упругость
resilience,эластичность
untangling,распутывание
interject,вставлять
interject,перебивать
deemed,считается
facilitate,содействовать
fencing,ограждение
nevertheless,тем не менее
prudent,предусмотрительный
clobbered,затерт
ubiquitously,повсеместно
epitome,олицетворение
epitome,воплощение
perplexing,озадачивающий
caveat,предостережение
resilient,упругий
resilient,гибкий
accommodate,вмещать
decent,порядочный
decent,приличный
straggler,отставший
conflation,сплав
conflation,смешение
conflate,объединять
humongous,огромный
chute,желоб
resembles,походит
offload,разгружать
culled,отобранный
impervious,непроницаемый
emerge,всплывать
emerge,появляться
recurring,повторяющийся
stemming,вытекающий
congregate,скапливаться
dye,красить
bias,смещение
outermost,самый дальний
snitch,доносчик
snitch,осведомитель
accrual,начисление
signifies,означает
ramifications,последствия
take precedence,иметь преимущество
prohibitive,запретительный
wrinkle,морщина
contiguous,смежный
contiguous,прилегающий
facet,грань
facet,аспект
stagger,шатание
entrenched,укоренившийся
overt,явный
insidious,коварный
slather,намазывать толстым слоем
sequester,изолировать
befuddled,озадаченный
arrogant,высокомерный
minutia,мелочи
daunting,пугающий
daunting,обескураживающий
stem,стебель
stem,основа
bewildering,озадачивающий
bewildering,ставящий в тупик
bewildering,сбивающий с толку
twofold,вдвое
twofold,двукратный
tremendously,чрезвычайно
holistic,целостный
succinctly,сжато
quiescent,неподвижный
devotion,преданность
sprinkle,вкрапливать
concordant,согласный
concordant,гармоничный
sapling,молодое деревце
tinker,кое-как работать
envious,завистливый
abundant,обильный
abundant,богатый
sneak,пробраться
sneak,красть
clot,комок
clot,сгусток
clot,тромб
pacify,умиротворять
pacify,успокаивать
proselytize,обращать в свою веру
manned,укомплектованный персоналом
ward off,отражать нападение
wacky,чокнутый
far cry,большая разница
far cry,большое расстояние
maternal,по материнской линии
parental,по отцовской линии
concoct,стряпать, выдумывать
substantial,основательный
substantial,реальный
substantial,фактический
endure,выносить
endure,терпеть
get sacked,быть уволенным
leaning,склонность
atrocity,жестокость
atrocity,зверства
outing,загородная прогулка
rival,соперник
rival,конкурент
rival,противник
crib,детская кроватка
crib,хижина
marksman,меткий стрелок
conceive,зачать
conjugal,брачный
pale,бледный
pale,неяркий
obnoxious,несносный
thankless,неблагодарный
roster,состав
roster,список
drudgery,тяжёлая и нудная работа
drudgery,нудная работа
drudgery,тяжёлая работа
caveat,предостережение
mundane,обыденный
mundane,обычный
unequivocally,однозначно
tussle,борьба
withdrawn,замкнутый
endowment,вклад
endowment,пожертвование
dwindle,уменьшаться
dwindle,сокращаться
dwindle,терять значение
chip in,вмешиваться
inroad,вторжение
inroad,нашествие
inroad,посягательство
scouring,рыскать
scouring,прочёсывать
snappy,мгновенный
snappy,шустрый
maze,лабиринт
occlude,закупоривать
occlude,закрывать
foray,набег
foray,налёт
trolley,тележка
beige,бежевый
blissful,блаженный
coerce,принуждать
coerce,заставлять
drown,тонуть
litter,приплод животных
litter,мусор
litter,беспорядок
sole,единственный
bathrobe,купальный халат
chuckle,хихикать
despise,презирать
flourishing,цветущий
flourishing,процветающий
anticipation,ожидание
anticipation,предчувствие
jolt,толчок
jolt,тряска
subside,опускаться
subside,стихать
subside,успокаиваться
painstaking,старательный
painstaking,кропотливый
digressing,отступать
digressing,отклоняться
haggling,торговаться
fringe,бахрома
smorgasbord,шведский стол
quaint,необычный
quaint,забавный
studly box,шкатулка
incidentally,случайно
cut-down,урезанный
outrageous,возмутительный
cabbage,капуста
knitting,вязание
staggering,идти пошатываясь
mannerheimintie,манеры
innocuous,безобидный
innocuous,безвредный
hence,отныне
henceforth,впредь
generous,щедрый
generous,обильный
bookkeeping,бухгалтерия
bookkeeping,счетоводство
brittle,хрупкий
snap,щелчок
remedy,средство
remedy,лекарство
means,средство
converge,сходиться в одну точку
converge,сходиться
sustain,поддерживать
sustain,выдерживать
sustainable,стабильный
tenant,жилец
tenant,наниматель
tenant,квартиросъёмщик
sensible,разумный
sensible,здравый
sensible,имеющий смысл
fancy,изысканный
fancy,причудливый
fancy,модный
claim,требование
verbatim,дословный
obliterate,стирать
obliterate,уничтожать
corollary,вывод
corollary,заключение
aforementioned,вышеупомянутый
devise,изобретать
devise,придумывать
pivot,поворот
pivot,поворачивать
strain,напряжение
strain,нагрузка
untapped,неиспользованный
untapped,нетронутый
rig,буровая установка
tribal,родовой
tribal,племенной
churn,отток
churn,маслобойка
churn,взбалтывать
convey,передавать
convey,сообщать
convey,выражать
retrofit,модернизация
bolted on,прикручен
conceal,скрывать
conceal,таить
conceal,прятать
rigor,строгость
rigor,озноб
rigor,суровость
astonish,удивлять
astonish,изумлять
rug,коврик
grand,большой
grand,великий
subtle,тонкий
subtle,утончённый
colorful,красочный
colorful,яркий
brag,хвастаться
patently,явно
patently,очевидно
outlandish,диковинный
outlandish,глухой
outlandish,нелепый
doggone,собачий
doggone,проклятый
doggone,чёртов
folly,глупость
folly,безумие
folly,безрассудство
intertwined,переплетённый
intertwined,сплетённый
rake,грабли
scoop,совок
humble,скромный
pervasive,всепроникающий
enshrined,закреплённый
elide,исключать
elide,умалчивать
tribulation,бедствие
tribulation,невзгоды
slick,ловкий
flattery,лесть
convincing,убедительный
disguised,замаскированный
tough,жёсткий
tough,крутой
tough,тяжёлый
hinder,мешать
hinder,препятствовать
mitigate,смягчать
mitigate,облегчать
snag,загвоздка
awry,наперекосяк
funnel,воронка
insatiable,ненасытный
reluctantly,неохотно
sheds light,проливает свет
sought after,востребованный
prairie,прерия
soil,почва
broomstick,метла
sprout,прорастать
sprout,росток
libel,клевета в печати
libel,пасквиль
in instalments,в рассрочку
terse,лаконичный
terse,краткий
fraternity,братство
felinity,женственность
posed,поставленный вопрос
dissolving,растворяеться
jotted,набросать заметку
band aids,лейкопластырь
shorthanded,нуждающийся в рабочей силе
windshield,ветровое стекло
custody,опека, заключение
haul,улов
sage,мудрец
sage,шалфей
exuberant,буйный
exuberant,избыточный
exuberant,плодовитый
derogatory slur,уничижительное оскорбление
descent,спуск
descent,происхождение
beaner, мексиканец
whiff,дуновение
suspect,подозреваемый
persuasion,вероисповедание
persuasion,убеждение
basket-case,ненормальный человек
recovery flask,восстановительная колба
paraphernalia,принадоежности
paraphernalia,личные вещи
griffin beakers,минзурка гриффона
flunk,заваливать
boonies,глушь
evasive,неуловимый
waist,талия
shrunk,сжатый
jibhead,метамфетаминовый наркоман
vengeance,месть
dimed,сдать кого-то
deed,секс
cleavage,раскол
cleavage,расщепление
cleavage,промежуток между грудьми
brasserie,бюстгальтер
brasserie,лифчик
ditching,кидать кого-то
morning sikness,токсикоз
out cold,в отключке
bide,выжидать
pot,травка
climb down of my ass,отстань
i can dig it,я разберусь
bathtub,ванная
bedpans,судно
squeaking,скрипеть
arches,арки стоп
arches,своды стопы
fair share,изрядная доля
lightheaded,легкомысленный
lightheaded,ветренный
junkie,торчок
skeevy,мерзкий
nasty,противный
nasty,гадкий
coochie,вагина
hit that,иметь секс
holding,иметь наркотики на продажу
windy,минет
on the pipe,курить крэк
handicapped,инвалид
howitzer,мощная пушка
howitzer,пердёж
howitzer,толстушка
hoof it,шагать пешком
earful,коничить в ухо
bassinet,люлька
snitch,стукач
croak,ruin
snaking,змеиться
snaking,виться
ratted out,сдавать
swabbed,мыть шваброй
swabbed,подтирать
kingping,авторитет
tuggy,подрочить кому-то
stalking laws,законы о преследовании
scante,метамфетамин
scante,скорость
barnyard,скотный двор
boohog,уродливая женщина
piccolo,малая флейта
oboe,гобой
bleach,отбеливать
inroad,наступление
scumbag,тунеядец
debrief,подведение итогов
fatigued,утомлённый
gums,дёсна
nausea,тошнота
plead,умолять
duds,безделушки
duds,шмотки
toke,затяжка
prom dress,платье выпускного вечера
catch up later,пересечёмся позже
gravitate,тяготеть
elbows,локти
rant,напыщенная речь
rant,разгалольстовование
ought to,должен что-то
tunnel vision,туннельное зрение
flat out,совершенно точно
flat out,однозначно
ditch,канава
ditch,ров
javelinas,дротики
badger,барсук
bottom of the ninth,решающий момент
bum arm,руки из жопы
fat stack,куча денег
slinging,метать
slinging dope,продажа наркотиков
felony quantity,число тяжких преступлений
pissant,ноулайфер
pissant,неудачник
solicitous,заботливый
tufr,газон
hernia,грыжа
tear,порвать
janitor,дворник
waddling,ходить вразвалку
frisky,резвый
frisky,игривый
antiemetics,противорвотные средства
khakis,хаки
sweat lounge,что-то вроде бани
admit,признавать
conjecture,предположение
conjecture,догадка
big lug,здоровяк
lingo,жаргон
pellet,гранула
pellet,пулька
tumescent,набухший
smug,самодовольный
run a tight ship,хорошо вести дело
holler,кричать
holler,звать
agitated,взыолнованный
bewildering,сбивающий с толку
collateral,залог
pouty,надутый
beaucoup,большая куча денег
uproot,выкорчевать
smuggle,контрабанда
bun,булочка
affair,роман
affair,интрижка
grasping at straws,хвататься за соломинку
chauffeuring,привезти
bum-rush,налететь и повалить
lucid,ясный
filth,грязь
filth,мерзость
yanked away,выдернуть
ascertained,установлено
acquaintances,знакомые
sacrilege,святотатство
stranded,в затруднительном положении
vouched,поручился
mildly,мягко
skid mark,следы шин заноса
outpatient,амбулаторный
abide,соблюдать
credibility,правдоподобие
numbnuts,тупицы
amped,усиленный
amped,заряженный
cut for loose,отпустить
stooge,подставное лицо
ordeal,тяжёлое испытание
stove,печь
beside the point,не относящееся к делу
felony,уголовное преступление
hectic,суматошный
crash a few nights,остаться на пару ночей
i'm up to something,я что-то задумал
sloppiness,неряшливость
